Size,Linear_us,BST_us,RBT_us,Hash_us,Multimap_us,Collisions
100,0,0,0,0,0,27
1000,1005,999,0,0,0,217
5000,7001,0,0,999,0,275
10000,14000,0,0,1001,0,241
50000,67716,1001,999,1999,0,477
100000,132027,2000,2000,4000,1001,0
250000,376868,5001,4999,11003,3000,0
500000,770981,11000,10504,21503,5000,0
750000,1168000,17000,16000,32000,7502,0
1000000,1591156,23003,21572,43395,10249,0
